0,100,0.000416667,100,3
0.0166667,100,0.00166458,99.9996,2.98499
0.0333333,100,0.00373958,99.9983,2.97003
0.05,100,0.00663752,99.9963,2.95511
0.0666667,100,0.0103543,99.9934,2.94025
0.0833333,100,0.0148857,99.9896,2.92544
0.1,100,0.0202277,99.9851,2.91067
0.116667,100,0.0263761,99.9798,2.89596
0.133333,100,0.033327,99.9736,2.8813
0.15,100,0.0410762,99.9667,2.86668
0.166667,100,0.0496196,99.9589,2.85212
0.183333,100,0.0589533,99.9504,2.8376
0.2,100,0.0690733,99.941,2.82313
0.216667,100,0.0799754,99.9309,2.80871
0.233333,100,0.0916557,99.92,2.79434
0.25,100,0.10411,99.9083,2.78002
0.266667,100,0.117335,99.8959,2.76574
0.283333,100,0.131326,99.8827,2.75152
0.3,100,0.146079,99.8687,2.73734
0.316667,100,0.161591,99.8539,2.72321
0.333333,100,0.177858,99.8384,2.70913
0.35,100,0.194875,99.8221,2.6951
0.366667,100,0.212638,99.8051,2.68111
0.383333,100,0.231145,99.7874,2.66717
0.4,100,0.25039,99.7689,2.65328
0.416667,100,0.27037,99.7496,2.63944
0.433333,100,0.291082,99.7296,2.62564
0.45,100,0.312521,99.7089,2.61189
0.466667,100,0.334684,99.6875,2.59819
0.483333,100,0.357567,99.6653,2.58453
0.5,100,0.381165,99.6424,2.57092
0.516667,100,0.405476,99.6188,2.55736
0.533333,100,0.430496,99.5945,2.54385
0.55,100,0.45622,99.5695,2.53038
0.566667,100,0.482645,99.5438,2.51695
0.583333,100,0.509767,99.5174,2.50358
0.6,100,0.537583,99.4902,2.49024
0.616667,100,0.566089,99.4624,2.47696
0.633333,100,0.595282,99.4339,2.46372
0.65,100,0.625156,99.4047,2.45052
0.666667,100,0.65571,99.3748,2.43737
0.683333,100,0.686939,99.3443,2.42427
0.7,100,0.718839,99.3131,2.41121
0.716667,100,0.751407,99.2812,2.3982
0.733333,100,0.78464,99.2486,2.38523
0.75,100,0.818534,99.2154,2.37231
0.766667,100,0.853084,99.1815,2.35943
0.783333,100,0.888289,99.1469,2.3466
0.8,100,0.924143,99.1117,2.33381
0.816667,100,0.960644,99.0759,2.32106
0.833333,100,0.997788,99.0394,2.30836
0.85,100,1.03557,99.0022,2.29571
0.866667,100,1.07399,98.9644,2.28309
0.883333,100,1.11304,98.926,2.27053
0.9,100,1.15272,98.887,2.258
0.916667,100,1.19303,98.8473,2.24552
0.933333,100,1.23396,98.807,2.23308
0.95,100,1.2755,98.766,2.22069
0.966667,100,1.31767,98.7245,2.20834
0.983333,100,1.36044,98.6823,2.19604
1,100,1.40382,98.6396,2.18377
1.01667,100,1.44781,98.5962,2.17155
1.03333,100,1.4924,98.5522,2.15937
1.05,100,1.53758,98.5076,2.14724
1.06667,100,1.58336,98.4624,2.13515
1.08333,100,1.62974,98.4166,2.1231
1.1,100,1.6767,98.3703,2.11109
1.11667,100,1.72424,98.3233,2.09913
1.13333,100,1.77237,98.2758,2.08721
1.15,100,1.82107,98.2276,2.07533
1.16667,100,1.87035,98.1789,2.06349
1.18333,100,1.92021,98.1296,2.05169
1.2,100,1.97063,98.0798,2.03994
1.21667,100,2.02161,98.0294,2.02823
1.23333,100,2.07316,97.9784,2.01656
1.25,100,2.12526,97.9268,2.00493
1.26667,100,2.17792,97.8747,1.99334
1.28333,100,2.23114,97.8221,1.98179
1.3,100,2.2849,97.7689,1.97029
1.31667,100,2.3392,97.7151,1.95882
1.33333,100,2.39405,97.6608,1.9474
1.35,100,2.44944,97.6059,1.93602
1.36667,100,2.50537,97.5506,1.92467
1.38333,100,2.56183,97.4946,1.91337
1.4,100,2.61881,97.4382,1.90211
1.41667,100,2.67633,97.3812,1.89089
1.43333,100,2.73437,97.3237,1.87971
1.45,100,2.79293,97.2656,1.86857
1.46667,100,2.852,97.2071,1.85747
1.48333,100,2.9116,97.148,1.84641
1.5,100,2.9717,97.0884,1.83539
1.51667,100,3.03231,97.0283,1.82441
1.53333,100,3.09342,96.9677,1.81347
1.55,100,3.15504,96.9066,1.80257
1.56667,100,3.21716,96.845,1.79171
1.58333,100,3.27977,96.7828,1.78089
1.6,100,3.34288,96.7202,1.77011
1.61667,100,3.40648,96.6571,1.75936
1.63333,100,3.47056,96.5935,1.74866
1.65,100,3.53513,96.5294,1.73799
1.66667,100,3.60018,96.4649,1.72736
1.68333,100,3.66571,96.3998,1.71678
1.7,100,3.73171,96.3343,1.70623
1.71667,100,3.79819,96.2683,1.69572
1.73333,100,3.86514,96.2018,1.68524
1.75,100,3.93255,96.1349,1.67481
1.76667,100,4.00042,96.0675,1.66441
1.78333,100,4.06876,95.9996,1.65405
1.8,100,4.13756,95.9312,1.64373
1.81667,100,4.20681,95.8624,1.63345
1.83333,100,4.27651,95.7932,1.62321
1.85,100,4.34666,95.7235,1.613
1.86667,100,4.41726,95.6533,1.60283
1.88333,100,4.4883,95.5827,1.5927
1.9,100,4.55979,95.5117,1.5826
1.91667,100,4.63171,95.4402,1.57254
1.93333,100,4.70407,95.3683,1.56252
1.95,100,4.77686,95.2959,1.55254
1.96667,100,4.85008,95.2231,1.54259
1.98333,100,4.92372,95.1499,1.53269
2,100,4.99779,95.0763,1.52281
2.01667,100,5.07229,95.0022,1.51298
2.03333,100,5.1472,94.9277,1.50318
2.05,100,5.22253,94.8528,1.49341
2.06667,100,5.29827,94.7775,1.48369
2.08333,100,5.37442,94.7017,1.474
2.1,100,5.45098,94.6256,1.46434
2.11667,100,5.52795,94.549,1.45472
2.13333,100,5.60532,94.4721,1.44514
